origin_code,origin_sub_district,origin_district,destination_code,destination_sub_district,destination_district,species_type,number,weekly_volume
D-BKS-031,TARUMAJAYA,BEKASI,M-JKT-087,CAKUNG,,BR,10,70
D-BKS-031,TARUMAJAYA,BEKASI,,CILINCING,,BR,10,70
D-BGR-222,LEUWISADENG,BOGOR,,LEUWISADENG,,BR,100,700
D-BGR-188,CIGUDEG,BOGOR,,CIGUDEG,,LA,10,70
D-BGR-195,JASINGA,BOGOR,D-BGR-193,JASINGA,,LA,200,600
D-BGR-195,JASINGA,BOGOR,,RANGKASBITUNG,,LA,50,50
D-BGR-195,JASINGA,BOGOR,,MUNCANG,,LA,300,900
D-BGR-195,JASINGA,BOGOR,D-TGR-104,CISOKA,,LA,50,350
D-BGR-195,JASINGA,BOGOR,D-TGR-108,TIGARAKSA,,LA,60,180
D-BGR-236,CILEUNGSI,BOGOR,D-BGR-133,CILEUNGSI,,AK,30,60
D-BGR-131,CILEUNGSI,BOGOR,,CILEUNGSI,,BR,500,3000
M-JKB-023,KALI DERES,JAKARTA BARAT,,PENJARINGAN,,BR,700,700
M-JKB-023,KALI DERES,JAKARTA BARAT,,KALI DERES,,BR,200,200
M-JKB-023,KALI DERES,JAKARTA BARAT,,TANAH ABANG,,BR,70,70
M-JKB-023,KALI DERES,JAKARTA BARAT,M-JKS-036,KEBAYORAN LAMA,,BR,1000,1000
M-JKB-023,KALI DERES,JAKARTA BARAT,,KALI DERES,,BR,1300,1300
M-JKB-023,KALI DERES,JAKARTA BARAT,,KALI DERES,,BR,700,700
M-TGR-097,NEGLASARI,KOTA TANGERANG,,NEGLASARI,,BR,214,214
M-TGR-097,NEGLASARI,KOTA TANGERANG,,NEGLASARI,,BR,214,214
D-BKS-017,CIBARUSAH,BEKASI,,CIBARUSAH,,BR,100,700
M-JKP-041,KEMAYORAN,JAKARTA PUSAT,,KEMAYORAN,,BR,3500,
M-JKS-077-5,KEBAYORAN LAMA,JAKARTA SELATAN,,TANAH ABANG,,BR,50,
M-JKS-077-5,KEBAYORAN LAMA,JAKARTA SELATAN,,TANAH ABANG,,BR,20,
,,,,RAJEG,,BR,200,1400
,,,D-TGR-090,PASARKEMIS,,BR,200,1400
,,,,RAJEG,,BR,900,6300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,3000,21000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CIKARANG PUSAT,,BR,2000,14000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,KRAMAT JATI,,BR,2000,14000
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,PONDOKGEDE,,LA,400,2800
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,KEBAYORAN LAMA,,LA,400,2800
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,LA,500,3500
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,JATIASIH,,LA,250,1750
D-TGR-063,TIGARAKSA,TANGERANG,D-TGR-064,TIGARAKSA,,BR,214,214
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,400,400
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-074,CAKUNG,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKS-022,PASAR MINGGU,,BR,1000,1000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKB-034,CENGKARENG,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-BKS-076,PONDOKGEDE,,BR,500,500
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,2500,2500
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,M-JKT-074,CAKUNG,,BR,500,500
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,1000,1000
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,M-JKT-087,CAKUNG,,BR,400,400
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,400,400
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,M-BKS-022,BEKASI BARAT,,BR,300,300
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,TANJUNG PRIOK,,BR,400,400
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKS-022,PASAR MINGGU,,BR,400,400
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,TANJUNG PRIOK,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CAKUNG,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-074,CAKUNG,,BR,200,200
D-BKS-059,CIBARUSAH,BEKASI,D-BKS-039,CIBARUSAH,,BR,150,1050
M-BKS-044,BEKASI SELATAN,KOTA BEKASI,M-BKS-007,BEKASI SELATAN,,BR,500,3500
M-BKS-044,BEKASI SELATAN,KOTA BEKASI,,BEKASI SELATAN,,BR,925,6475
M-BKS-051,BEKASI UTARA,KOTA BEKASI,D-BKS-008,BABELAN,,BR,1000,7000
M-BKS-051,BEKASI UTARA,KOTA BEKASI,M-JKT-074,CAKUNG,,BR,1500,10500
M-BKS-051,BEKASI UTARA,KOTA BEKASI,,BEKASI UTARA,,BR,700,4900
M-BKS-051,BEKASI UTARA,KOTA BEKASI,,BEKASI UTARA,,BR,300,2100
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,2000,14000
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,CIKARANG PUSAT,,BR,2000,14000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CAKUNG,,BR,1000,7000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,1000,7000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,3000,21000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PONDOKGEDE,,BR,3000,21000
D-BGR-190,TENJO,BOGOR,D-BGR-192,TENJO,,LA,100,600
D-BGR-212,CISEENG,BOGOR,,PARUNG,,BR,500,3500
D-BGR-233,CILEUNGSI,BOGOR,D-BGR-128,GUNUNG PUTRI,,BR,1200,3600
D-BGR-233,CILEUNGSI,BOGOR,,GUNUNG PUTRI,,BR,100,700
M-JKS-077-5,KEBAYORAN LAMA,JAKARTA SELATAN,M-JKS-036,KEBAYORAN LAMA,,BR,30,
M-JKS-077-5,KEBAYORAN LAMA,JAKARTA SELATAN,M-JKP-028,TANAH ABANG,,BR,40,
M-JKS-077-5,KEBAYORAN LAMA,JAKARTA SELATAN,,KEBAYORAN LAMA,,BR,600,
M-JKS-097,TEBET,JAKARTA SELATAN,,TEBET,,BR,40,280
M-JKS-104,KEBAYORAN LAMA,JAKARTA SELATAN,M-JKS-039,KEBAYORAN BARU,,BR,500,
M-JKS-104,KEBAYORAN LAMA,JAKARTA SELATAN,M-JKP-028,TANAH ABANG,,BR,500,
M-JKS-104,KEBAYORAN LAMA,JAKARTA SELATAN,,TANAH ABANG,,BR,400,
M-JKS-104,KEBAYORAN LAMA,JAKARTA SELATAN,,KEBAYORAN LAMA,,BR,100,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CEMPAKA PUTIH,,BR,500,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CIKARANG PUSAT,,BR,500,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CAKUNG,,BR,800,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-021,PULO GADUNG,,BR,900,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,1300,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKS-022,PASAR MINGGU,,BR,1000,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-074,CAKUNG,,BR,1000,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKU-012,TANJUNG PRIOK,,BR,700,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,1000,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKU-029,TANJUNG PRIOK,,BR,300,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,350,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CIKARANG PUSAT,,BR,250,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKS-022,PASAR MINGGU,,BR,100,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,TANJUNG PRIOK,,BR,300,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-021,PULO GADUNG,,BR,200,
