destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-BGR-010,KOTA BOGOR BARAT,KOTA BOGOR,BOGOR,BR,500,500
M-BKS-065,BEKASI TIMUR,KOTA BEKASI,SUKABUMI,BR,1500,10500
M-JKB-039,CENGKARENG,JAKARTA BARAT,BOGOR,BR,500,1500
M-JKB-039,CENGKARENG,JAKARTA BARAT,JAKARTA BARAT,BR,500,2000
M-BKS-016,JATIASIH,KOTA BEKASI,SUBANG,BR,1408,3285,332864
M-BKS-016,JATIASIH,KOTA BEKASI,TANGERANG,BR,1408,3285,332864
M-BKS-016,JATIASIH,KOTA BEKASI,INDRAMAYU,BR,1408,3285,332864
M-BKS-088,BEKASI TIMUR,KOTA BEKASI,KARAWANG,BR,1000,4000
M-BKS-088,BEKASI TIMUR,KOTA BEKASI,BOGOR,BR,1000,1500
M-BKS-088,BEKASI TIMUR,KOTA BEKASI,BEKASI,BR,1000,1500
M-BKS-040,BANTARGEBANG,KOTA BEKASI,KOTA BEKASI,BR,100,700
M-JKT-191,MATRAMAN,JAKARTA TIMUR,BANDUNG,BR,7000,7000
M-BKS-016,JATIASIH,KOTA BEKASI,BEKASI,BR,1000,7000
M-BKS-016,JATIASIH,KOTA BEKASI,KOTA BEKASI,BR,1200,8400
M-BKS-042,BANTARGEBANG,KOTA BEKASI,SUBANG,BR,1000,4000
M-BKS-042,BANTARGEBANG,KOTA BEKASI,SUBANG,BR,1000,3000
D-BGR-088,TAJURHALANG,BOGOR,BOGOR,BR,1000,7000
D-BGR-088,TAJURHALANG,BOGOR,BOGOR,BR,4000,4000
D-BGR-088,TAJURHALANG,BOGOR,JAKARTA UTARA,BR,1500,10500
M-TGR-129,TANGERANG,KOTA TANGERANG,SERANG,BR,500,1500
M-TGR-129,TANGERANG,KOTA TANGERANG,BOGOR,BR,500,1500
M-TGR-129,TANGERANG,KOTA TANGERANG,TANGERANG,BR,1000,4000
M-TGR-015,TANGERANG,KOTA TANGERANG,TANGERANG,BR,350,2450
M-TGR-015,TANGERANG,KOTA TANGERANG,TANGERANG,BR,350,2450
M-JKB-049,GROGOL PETAMBURAN,JAKARTA BARAT,BOGOR,BR,700,3500
M-JKB-049,GROGOL PETAMBURAN,JAKARTA BARAT,BOGOR,BR,700,1400
M-JKB-049,GROGOL PETAMBURAN,JAKARTA BARAT,LEBAK,BR,175,175
M-JKB-051,GROGOL PETAMBURAN,JAKARTA BARAT,TASIKMALAYA,BR,3000,12000
M-JKB-051,GROGOL PETAMBURAN,JAKARTA BARAT,CIAMIS,BR,3000,9000
M-BKS-008,PONDOK MELATI,KOTA BEKASI,SEMARANG,BR,3000,10500
M-BKS-008,PONDOK MELATI,KOTA BEKASI,SERANG,BR,3000,10500
M-BKS-008,PONDOK MELATI,KOTA BEKASI,SEMARANG,BR,1500,10500
M-BKS-075,PONDOKGEDE,KOTA BEKASI,BEKASI,BR,2500,8750
M-BKS-075,PONDOKGEDE,KOTA BEKASI,SUBANG,BR,2500,8750
M-JKB-048,GROGOL PETAMBURAN,JAKARTA BARAT,CIREBON,AK,250,250
M-JKB-054,TAMBORA,JAKARTA BARAT,BANYUMAS,DU,70,0
M-JKB-054,TAMBORA,JAKARTA BARAT,CILACAP,DU,70,0
M-JKB-054,TAMBORA,JAKARTA BARAT,TANGERANG,DU,70,0
M-JKB-054,TAMBORA,JAKARTA BARAT,SERANG,DU,60,0
M-JKB-054,TAMBORA,JAKARTA BARAT,SUKABUMI,BR,125,875
M-JKB-054,TAMBORA,JAKARTA BARAT,JAKARTA TIMUR,BR,75,525
